,News Media,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
488,nytimes,Tue Sep 11 13:00:16 +0000 2018,89,0.0,0.0,1.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/UE1LpqDXYY https://t.co/rgwgGSOPyh
489,nytimes,Tue Sep 11 12:44:02 +0000 2018,90,-0.9022,0.0,0.619,0.381,"""Picking up racist iconography from 100 years ago in order to attack a black woman still makes you racist, even if… https://t.co/3coxZAukqx"
490,nytimes,Tue Sep 11 12:29:04 +0000 2018,91,0.7089,0.257,0.743,0.0,"RT @mccanner: The @nytpolitics team launched a really great new project today. It's a newsletter, written by @llerer

I know, I know, ANOTH…"
491,nytimes,Tue Sep 11 12:15:09 +0000 2018,92,0.0,0.0,1.0,0.0,"It has taken more than four years, over 29,000 airstrikes and thousands of soldiers’ lives for the American-led coa… https://t.co/PtiGDjqLpL"
492,nytimes,Tue Sep 11 12:00:08 +0000 2018,93,-0.6249,0.0,0.806,0.194,"Your daily @DealBook Briefing:

• How the financial crisis helped elect Trump. 

• Hurricane Florence may be an eco… https://t.co/X2jy6GhFXs"
493,nytimes,Tue Sep 11 11:46:06 +0000 2018,94,0.0,0.0,1.0,0.0,Follow Hurricane Florence's path here https://t.co/EuKlnsR7ZW
494,nytimes,Tue Sep 11 11:30:03 +0000 2018,95,0.0,0.0,1.0,0.0,President Trump received a letter from Kim Jong-un asking for a second meeting to follow up on their summit in June… https://t.co/F96LVDE3Gd
495,nytimes,Tue Sep 11 11:15:08 +0000 2018,96,0.0,0.0,1.0,0.0,"Bob Woodward talks about what it took to get access to the White House and why he called his new book ""Fear"" https://t.co/HyOMWWmqQk"
496,nytimes,Tue Sep 11 11:00:03 +0000 2018,97,0.0,0.0,1.0,0.0,More than a million people in North and South Carolina have been ordered to evacuate as Hurricane Florence approach… https://t.co/tVRoEKAzUB
497,nytimes,Tue Sep 11 10:43:06 +0000 2018,98,-0.296,0.0,0.909,0.091,Andrew Cuomo has said his administration had no role in the timing of the opening of the Mario M. Cuomo Bridge. A n… https://t.co/X85OVrND5J
498,nytimes,Tue Sep 11 10:30:07 +0000 2018,99,0.0,0.0,1.0,0.0,"""It has been a government in survival mode and not in governance mode,"" said Guatemala's former health minister. ""T… https://t.co/liwbsCoeBA"
499,nytimes,Tue Sep 11 10:16:03 +0000 2018,100,-0.1027,0.118,0.709,0.173,"RT @EllenBarryNYT: When the Soviet Union collapsed, Vladimir Putin and Sergei Skripal lived through the same breathtaking loss of status an…"
